region,cash_capita,real_incomes,real_pay,formal_wage_paid,child_mortality,disabled,alco,drugs,gross,living_area,poor_living_conditions,general_morbidity,teen_pregnancy,birth,population,poverty_percent,children_per,pensioners_per,working_age_per,reg_mining,reg_electric,reg_water,reg_manuf,reg_indust,retail,welfare,orphans_need,adopted,children_%,retiree,pension,retired_percent,living_wage,crime
Белгородская область,30692.5,-0.02698770654870397,0.22614744412159982,30920.333333333332,139.21875,2155027.8333333335,71.72857142857143,4.007142857142857,244680.468,17.8,0.4,72686.75,1122.5333333333333,15822.873749999999,1531917,14.75769230769231,44.8,12.9,42.3,158411361.2,26791541.65,10532428.475000001,702250454.7475,897985786.0224999,202995.55555555556,14.166666666666666,215.25,249.375,18.31038564375,414591.14285714284,13824.707142857145,27.214285714285715,9593.0,4414.24358974359
Брянская область,26015.5,-0.06690023370550013,0.1639877762240003,26399.166666666668,154.40625,1131006.6666666667,157.67142857142858,13.242857142857142,123532.82,24.1,0.0,77822.6,881.6333333333333,12637.248124999998,1168771,20.042307692307695,44.8,3.7,51.6,296917.6,17344879.15,8773979.425,229727711.45,256143487.625,196209.66666666666,23.46666666666667,350.5,322.0,18.620792845,291857.5714285714,13599.815714285713,27.428571428571427,10950.0,5347.576923076923
Владимирская область,23908.333333333332,-0.10443032203535974,0.20405602298239978,29127.166666666668,142.78125,1318312.0,113.42857142857143,9.828571428571431,149340.336,16.1,0.0,93964.65,1356.9,14255.8125,1323659,23.0923076923077,34.8,4.8,60.4,4849978.175000001,36170907.3725,11442077.2225,468223820.4625,520686783.2325,156336.11111111112,22.150000000000002,408.5,485.625,17.9897940075,396645.14285714284,13789.344285714285,28.914285714285715,10808.0,6038.5641025641025
Воронежская область,30422.833333333332,-0.12070554198400008,0.18167092345068814,30077.0,216.3125,2291731.5,121.75,17.414285714285715,168933.316,19.9,0.1,54782.65,398.3,22572.365625,2287678,19.438461538461535,28.5,2.3,69.2,8066536.025,109002283.43249999,14969465.45,482431170.57500005,614469455.4825001,222931.88888888888,19.150000000000002,207.375,644.5,17.079092595000002,627980.7142857143,13067.284285714284,28.48571428571429,9053.0,8375.846153846154
Ивановская область,24567.833333333332,-0.09711740056959994,0.09572324513536001,24856.666666666668,116.25,828748.6666666666,143.87142857142857,10.007142857142854,98471.104,18.1,0.9,88113.7,685.7666666666668,10306.934375,976918,30.826923076923077,47.5,5.0,47.5,1033696.0,30169063.15,5282217.5,157071216.75,193556193.4,159397.22222222222,25.483333333333334,402.625,282.5,17.83535117125,281335.0,13336.67142857143,28.45714285714286,10581.0,4168.115384615385
Калужская область,29652.333333333332,-0.07047221803007986,0.1657577776373762,36595.166666666664,107.71875,814970.3333333334,111.82857142857142,8.749999999999998,196359.24,15.5,0.0,73392.3,337.09999999999997,10689.56,1012844,19.376923076923074,31.1,18.4,50.4,4025444.6249999995,23811903.45,9653256.625,817518945.8499999,855009550.5500001,187557.88888888888,17.383333333333336,253.375,242.625,18.05518845,259523.14285714287,14074.642857142857,27.74285714285714,10964.0,5007.602564102564
Костромская область,23997.833333333332,-0.08976499295159779,0.18633695422775953,26784.0,90.875,629381.1666666666,99.43571428571427,10.807142857142855,135356.548,14.5,0.9,74140.05,845.6666666666666,7325.060625000001,620776,21.426923076923078,39.9,6.6,53.5,722849.5249999999,37505769.125,3475098.0749999997,133876644.795,175580361.52,152587.22222222222,19.23333333333333,148.0,188.0,19.904326899999997,177548.2857142857,13345.717142857146,27.714285714285715,11010.0,3359.8205128205127
Курская область,27167.833333333332,-0.08766640900717604,0.18337950081728027,29162.166666666668,137.90625,1260553.5,132.77142857142857,16.099999999999998,170308.99200000003,17.1,0.0,54176.85,326.09999999999997,11625.124375,1083584,18.44230769230769,34.2,6.5,59.2,92404853.925,59084033.35,7219572.149999999,194623977.70000002,353332437.125,180892.22222222222,21.26666666666667,276.875,221.625,18.3634055075,302172.14285714284,13029.295714285716,28.37142857142857,9997.0,5048.141025641025
Липецкая область,29782.0,-0.055597592619568204,0.2138243144861678,30319.5,115.6875,1240513.8333333333,129.89285714285714,11.878571428571428,217216.26799999998,16.5,0.0,66858.9,859.6666666666666,11952.746874999999,1113680,14.71923076923077,40.0,0.8,59.3,6848052.075,24792685.3,11362149.25,701470848.85,744473735.45,209416.66666666666,20.216666666666665,290.375,232.75,18.55077305125,314819.0,13445.482857142855,28.057142857142857,9828.0,4490.974358974359
Московская область,43506.333333333336,0.021426488036000002,0.12784535695033994,49282.333333333336,593.28125,4433168.166666667,76.97142857142858,16.36428571428571,255299.89599999998,14.8,0.5,70404.35,815.5,79399.61249999999,7768878,16.03076923076923,49.9,5.7,44.4,13963392.174999999,280464699.6125,94474868.0625,2764884561.6549997,3153787521.505,289690.3333333333,18.433333333333334,1155.875,1821.125,18.75572630125,1751143.5714285714,14976.687142857143,24.514285714285712,13169.0,23044.397435897437
Орловская область,24481.833333333332,-0.060097028694400145,0.18168841869487973,26455.166666666668,85.125,647316.5,117.71428571428571,3.4357142857142855,144886.38400000002,18.8,0.3,95950.0,1202.7,7664.8725,714094,20.41923076923077,41.5,8.0,50.5,220494.95,13519922.125,4135223.575,117474747.72500001,135350388.375,167366.44444444444,23.2,408.375,226.5,17.96694279,190578.2857142857,14017.914285714285,28.857142857142858,10378.0,2510.448717948718
Рязанская область,25233.333333333332,-0.10731871640245594,0.13469152838756027,30737.5,120.4375,1386434.1666666667,99.50714285714285,13.97142857142857,158744.296,19.0,0.1,69944.1,529.9,11123.372500000001,1085152,21.315384615384616,37.0,3.3,59.7,1631393.55,39072599.1,6728878.699999999,312083159.425,359516030.775,167230.11111111112,19.900000000000002,311.25,249.375,17.142944763750002,305245.85714285716,13563.912857142857,29.857142857142858,10785.0,3575.7179487179487
Смоленская область,25576.833333333332,-0.06362577281972004,0.15129350837659983,28106.833333333332,105.75,792538.1666666666,138.89999999999998,14.542857142857141,150257.084,19.4,1.0,70297.7,545.6666666666666,9159.1225,909856,19.411538461538463,34.7,12.0,53.3,1725722.7,54530737.8,10275663.175,207638354.52500004,274170478.25,171163.44444444444,22.900000000000002,542.25,282.75,17.02758432125,259018.2857142857,13247.057142857142,28.0,10752.0,4667.74358974359
Тамбовская область,26593.833333333332,-0.15067308296296011,0.1402167051674632,25865.5,105.0625,1159993.1666666667,96.70714285714284,3.4857142857142853,144409.12,19.7,0.3,64812.75,1675.2666666666667,9434.561249999999,980984,17.476923076923075,33.5,7.6,58.9,226047.8,15585229.28,3787303.6724999994,164407488.6225,184006069.29999998,185064.66666666666,20.349999999999998,268.625,199.625,16.6029463275,291929.4285714286,12560.382857142857,30.085714285714285,10178.0,5065.7307692307695
Тверская область,25350.833333333332,-0.07669368605439986,0.1991964562472961,29876.5,166.875,1029240.1666666666,107.07142857142858,7.414285714285714,153685.604,17.5,0.3,88438.65,632.9,13530.498749999999,1230190,21.542307692307695,31.0,3.8,65.1,818245.15,97523356.29999998,7650470.09,310013951.4375,416006022.9275,175691.11111111112,20.483333333333334,442.0,545.625,18.1714169325,363694.85714285716,13664.434285714286,29.057142857142857,11138.0,5285.5641025641025
Тульская область,27441.833333333332,-0.1001443689334538,0.20123246723521993,33716.0,160.15625,1555811.3333333333,113.34285714285714,6.800000000000002,172046.40399999998,16.6,0.5,72066.1,1103.8999999999999,13678.560625,1432570,15.753846153846156,38.8,5.3,56.0,6901331.625,52475929.900000006,12656186.575000001,731226136.6425,803259584.7425,184551.22222222222,22.53333333333333,475.75,355.5,16.254712742499997,365303.0,14465.884285714286,30.17142857142857,10999.0,4406.128205128205
Ярославская область,27634.666666666668,-0.14331992738799992,0.11542720190720002,32216.333333333332,116.0625,1082093.8333333333,110.89999999999999,9.02142857142857,196090.46400000004,15.8,0.3,87847.54999999999,1165.5,13513.123124999998,1227383,16.17307692307692,31.9,2.3,65.8,1459038.625,44894081.375,10014057.775,386209357.31749994,442576535.09250003,179946.55555555556,20.933333333333334,528.875,338.875,18.59582014,358271.0,14135.254285714287,25.042857142857144,10668.0,5032.0
Москва,68295.0,0.047644028876059785,0.2360495138633596,81277.66666666667,934.2352941176471,10738639.5,47.449999999999996,14.014285714285714,666775.68,13.8,0.2,63887.45,29.900000000000002,126391.95749999999,12635466,13.246153846153845,38.4,13.2,48.5,1483556769.8249998,821841736.6,162852200.425,6690318143.4,9158568850.3725,381303.22222222225,16.98333333333333,1751.125,1139.75,16.3624661825,2629444.285714286,15114.245714285715,26.82857142857143,17740.0,21935.666666666668
Республика Карелия,28694.333333333332,-0.0066726785175038605,0.23166547153495998,37844.333333333336,68.59375,649637.5,165.25,5.778571428571428,201989.98,17.1,1.7,111896.45,1420.9666666666665,7024.435000000001,603067,17.588461538461537,39.0,3.0,58.1,84099106.925,26187020.175,3682623.8,116973843.5775,230942594.4775,187858.77777777778,24.299999999999997,299.0,216.375,19.951755412500003,210027.14285714287,17165.198571428573,26.67142857142857,14196.0,4252.782051282052
Республика Коми,33560.5,-0.11171760286150012,0.10003387773055983,48616.833333333336,119.40625,658566.3333333334,151.40000000000003,16.11428571428571,354481.54400000005,15.5,3.6,109454.3,2441.1,10671.30625,803477,16.673076923076923,40.1,6.6,53.3,361085663.3,44297418.47,7317547.375,188525587.55,601226216.6949999,186469.0,20.533333333333335,883.875,351.125,22.020304464999995,257856.57142857142,17839.692857142858,22.114285714285717,14567.0,6934.884615384615
Ненецкий автономный округ,76707.66666666667,-0.021063161643255945,0.07073652857600021,80050.5,8.53125,30787.166666666668,229.27857142857144,7.785714285714285,2313806.2086956524,20.9,4.1,140189.45,2943.2333333333336,670.75,44540,9.053846153846154,45.6,2.0,52.4,308749444.075,3981916.7500000005,527223.1875,9904088.049999999,323162672.0625,205996.0,14.983333333333334,62.5,32.25,26.95241063,11658.285714285714,22034.112857142853,18.97142857142857,21757.0,307.6923076923077
Архангельская область,31840.0,-0.07958460504303977,0.21428379800000008,43617.166666666664,151.90625,906544.1666666666,88.98181818181818,3.9909090909090916,294858.776,16.9,0.7,100714.75,1738.5999999999997,13580.248749999999,1114322,19.888461538461538,28.5,7.2,64.3,31165007.900000002,33846746.80500001,5585370.305,243549474.995,314146600.005,215757.11111111112,20.75,988.25,466.25,20.32935614875,367776.71428571426,20534.57,27.442857142857147,13304.0,6793.358974358975
Вологодская область,27058.5,-0.05994425713254392,0.27607810241368047,34297.833333333336,156.03125,1018757.5,92.63571428571426,8.721428571428572,228138.928,16.9,0.3,90274.5,528.1,14235.561249999999,1139499,17.86923076923077,43.1,2.3,54.6,669063.05,40798652.67,8383994.975,674438091.52,724289802.215,152468.66666666666,24.53333333333333,614.875,631.5,20.791159465,318940.71428571426,14460.325714285715,25.97142857142857,11428.0,7414.525641025641
Калининградская область,27261.166666666668,-0.024520802973951872,0.045487470197888014,32327.0,99.78125,733852.8333333334,90.54999999999998,7.864285714285713,204617.41200000004,15.6,1.5,76454.25,486.8333333333333,10735.68125,1027678,19.984615384615388,29.1,6.1,64.8,17517609.650000002,40667273.05,6931951.5,554925126.585,620041960.7850001,163340.33333333334,9.883333333333335,375.125,241.75,19.14198646125,232510.85714285713,13383.598571428573,24.957142857142856,12084.0,3973.948717948718
Ленинградская область,30088.166666666668,0.11633922153152021,0.15356073090330802,41325.333333333336,118.53125,1438040.3333333333,87.21428571428568,16.535714285714285,264457.96,17.0,1.6,64176.549999999996,612.6999999999999,14647.6875,1911586,21.519230769230774,19.0,17.0,64.1,14594450.200000001,144040150.25,16499354.325,1052756373.95,1227890328.725,209093.33333333334,16.116666666666667,646.75,558.5,16.69770325,426627.4285714286,14447.365714285714,27.271428571428576,11289.0,5212.884615384615
Мурманская область,40922.5,-0.025654371466239834,0.20455297881804846,56300.333333333336,90.3125,301545.1666666667,105.97142857142855,23.492857142857137,312435.43200000003,17.7,0.6,85433.1,753.3333333333334,8342.06125,724452,15.803846153846155,43.7,0.4,55.8,136686851.2,57964703.940000005,9267728.58,353013923.45,556933207.175,218585.55555555556,21.46666666666667,330.75,217.75,20.23037542125,224775.57142857142,18700.19857142857,21.757142857142856,17723.0,3854.9615384615386
Новгородская область,25706.0,-0.20179706071398418,0.047689330687999965,30229.333333333332,73.78125,616694.5,141.94285714285712,11.957142857142857,196229.27599999998,17.6,0.0,89095.05,670.6666666666666,6602.934375000001,586129,19.51923076923077,40.1,1.3,58.6,1221826.225,20157764.0,3294941.05,198496487.55,223171018.7,183923.22222222222,22.150000000000002,170.125,252.875,19.039895744999995,171898.14285714287,13919.961428571429,29.171428571428574,11352.0,3419.0
Псковская область,23780.166666666668,-0.04260668587600003,0.18607680554845474,25903.166666666668,82.5,507972.1666666667,139.35714285714286,10.364285714285714,122982.07200000001,15.0,0.0,68390.8,661.6666666666666,6563.185,613356,23.21153846153847,29.6,9.3,61.0,1959051.65,11748870.575,5282303.75,111416275.9,130406501.875,172898.88888888888,21.316666666666666,281.375,266.125,18.014985423749998,178365.42857142858,13344.429999999998,29.37142857142857,11441.0,3294.051282051282
Санкт-Петербург,43499.0,0.10245890108016775,0.2560444765966998,56931.666666666664,413.75,6107657.166666667,40.74285714285715,17.571428571428573,355494.408,15.7,0.1,97324.25,519.6333333333333,58191.984999999986,5377503,13.926923076923076,25.7,9.8,64.6,29306675.700000003,211623404.925,66071914.125,2520337441.5249996,2827339436.275,251650.22222222222,15.733333333333333,1495.25,842.875,16.383031445,1318910.5714285714,15572.077142857142,26.62857142857143,11910.0,11120.384615384615
Республика Адыгея (Адыгея),26924.666666666668,0.10618721842428802,0.1909333942640543,26584.666666666668,53.65625,353184.1666666667,106.14545454545454,23.44545454545455,107133.48800000001,19.6,3.0,66094.3,330.1333333333334,5166.18375,468340,25.48076923076923,44.6,5.4,50.1,3066325.625,3044502.0250000004,1750526.5750000002,50554393.625,58415747.85,200947.55555555556,19.583333333333332,33.375,164.625,21.305339625000002,103181.42857142857,12441.06714285714,25.142857142857142,9876.0,1399.871794871795
Республика Калмыкия,17105.666666666668,0.009450297589760126,0.28187496108895993,25170.833333333332,47.9375,227142.66666666666,79.95454545454545,9.972727272727273,110568.75200000001,20.2,0.0,68861.1,132.86666666666667,3700.8125,267756,41.79615384615385,33.8,0.3,65.9,0.0,2943488.7249999996,,866245.105,5976591.147500001,74042.66666666667,21.75,18.25,61.875,23.926232175000003,58344.28571428572,12113.517142857143,21.614285714285717,10443.0,1179.474358974359
Республика Крым,20024.166666666668,0.13323924347479998,0.17704080477619977,28219.0,107.28571428571429,1317359.8333333333,55.45,14.7,59827.64782608696,19.0,0.4,52444.75,1852.9333333333334,9030.0625,1896393,19.583333333333336,48.2,1.7,50.1,12125549.15,39936970.975,7529568.524999999,92924518.435,152516607.085,128618.875,13.066666666666668,163.875,475.0,19.42278379,497698.6666666667,13066.638333333334,27.699999999999996,11074.0,6060.820512820513
Краснодарский край,34074.5,-0.010170845034939924,0.16822491344383983,32387.0,569.34375,4458424.5,71.5090909090909,18.936363636363637,190935.80400000003,18.1,1.0,66145.15,887.1,64698.486874999995,5687378,20.807692307692307,39.3,6.9,53.8,48578062.05,115584589.76499999,30647632.3225,958763552.8225,1153573836.96,237485.55555555556,21.23333333333333,372.625,1177.25,20.261766042500003,1359581.857142857,12958.15,25.74285714285714,11261.0,17173.423076923078
Астраханская область,23899.5,-0.13942108337787806,0.2625697548035,31866.5,145.71875,463602.8333333333,98.54545454545456,7.0,186836.00400000002,19.2,0.2,63367.850000000006,661.6,13403.935624999998,989430,20.36538461538462,42.1,5.5,52.4,290498866.85,28662224.7,5713025.7975,67181972.225,392056089.5725,169976.22222222222,25.099999999999998,408.625,427.375,21.933635484999996,216465.57142857142,12439.648571428572,23.800000000000004,10793.0,5383.461538461538
Волгоградская область,22899.0,-0.11072499426088012,0.20032720042995256,29850.666666666668,320.28125,1835274.3333333333,96.74545454545455,14.136363636363637,161774.264,17.9,0.6,64322.45,725.4000000000001,26740.798125,2449781,19.738461538461536,46.2,4.0,49.8,51153306.375,71067731.9375,18490929.3,821964051.3824999,962676018.995,149409.88888888888,23.783333333333335,353.0,905.125,18.772043145,644197.0,13232.688571428573,26.985714285714288,9864.0,11086.897435897436
Ростовская область,28582.5,-0.009924828462196,0.1721266959802401,30170.666666666668,551.4375,3740300.5,68.68181818181819,10.436363636363636,152250.328,18.2,0.5,80601.6,1309.0666666666666,44723.35249999999,4153763,18.95,43.9,1.6,54.5,32842315.625,153807890.14499998,35008989.025000006,850696384.9125,1072355579.6075,211610.22222222222,24.016666666666666,561.75,1227.75,18.474006613750003,1066319.2857142857,12883.988571428572,26.7,10787.0,15255.346153846154
Севастополь,26865.833333333332,0.5312132841365362,0.2810569833467893,29421.5,19.428571428571427,215428.16666666666,82.3,27.15,66155.12608695652,13.7,1.2,51587.8,701.2333333333332,2051.061875,522057,11.85,45.2,2.1,52.7,0.0,9683072.7,,14017744.65,28074537.674999997,138725.75,12.766666666666666,36.5,80.625,18.17077031125,102144.0,14107.924999999997,26.74285714285714,11396.0,1238.7051282051282
Республика Дагестан,26623.333333333332,-0.11259177317470004,0.3467876219503998,24190.166666666668,698.625,3176434.6666666665,27.972727272727283,15.19090909090909,94801.812,22.5,0.7,79789.35,246.26666666666668,50170.424374999995,3153857,30.815384615384616,38.3,5.0,56.7,5012344.35,19621097.549999997,2125155.1750000003,44104514.0,70863111.075,189148.33333333334,25.233333333333334,127.125,507.875,28.98536768875,374554.14285714284,11613.378571428571,13.52857142857143,10465.0,3536.0641025641025
Республика Ингушетия,16064.166666666666,0.015913019213000368,0.15683380094103527,24857.333333333332,122.625,591987.6666666666,0.909090909090909,3.318181818181819,57095.112,27.8,0.0,67861.85,274.3,8937.747500000001,524058,50.49615384615385,38.1,10.6,51.3,1163110.425,1183899.9375,587482.925,2084606.875,5019100.1625,47648.22222222222,25.8,0.0,104.75,32.426316035,44778.71428571428,13675.89857142857,12.328571428571427,10353.0,323.6923076923077
